name,data_id,nsin,isin,initial_fee,ongoing_charges,capitalization,type,investment_focus,volume,performance_cy,performance_1y,performance_3y,performance_5y,volatility_cy,volatility_1y,volatility_3y,volatility_5y,max_drawdown_cy,max_drawdown_1y,max_drawdown_3y,max_drawdown_5y,months_positive_cy,capitalization_amount,capitalization_currency,performance_1m,performance_6m,volatility_1m,outperformance_3m,outperformance_1y
AXA-WORLD-FUNDS-GLOBAL-FACTORS-SUSTAINABLE-EQUITY-A-EUR-ACC-Fonds-LU1774149998,212114297,A2JE5A,LU1774149998,5.5,0.61,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",835.6,-1.36,-2.78,,,12.38,28.65,,,-3.43,-32.96,,,,,,,,,,
AXA-WORLD-FUNDS-GLOBAL-FACTORS-SUSTAINABLE-EQUITY-A-EUR-DIS-Fonds-LU1774150061,212114299,A2JE5B,LU1774150061,5.5,0.61,Ausschüttend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",835.6,-1.36,-2.78,,,12.38,28.65,,,-3.44,-32.95,,,,,,,,,,
AXA-WORLD-FUNDS-GLOBAL-FACTORS-SUSTAINABLE-EQUITY-F-EUR-ACC-Fonds-LU1774150145,212114300,A2JE5C,LU1774150145,2.0,0.41,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",835.6,-1.34,-2.58,,,12.38,28.66,,,-3.43,-32.95,,,,,,,,,,
AXA-WORLD-FUNDS-GLOBAL-FACTORS-SUSTAINABLE-EQUITY-F-EUR-DIS-Fonds-LU1774150228,212114301,A2JE5D,LU1774150228,2.0,0.41,Ausschüttend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",835.6,-1.34,-2.58,,,12.37,28.66,,,-3.43,-32.95,,,,,,,,,,
BNPP-AQUA-PRIVILEGE-EUR-DIS-Fonds-LU1664645287,213891417,A2JEJS,LU1664645287,3.0,1.14,Ausschüttend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",2.4,0.61,6.19,,,15.57,29.15,,,-4.65,-37.22,,,,,,,,,,
ALLIANZ-GIF-ALLIANZ-GLOBAL-SUSTAINABILITY-IT-EUR-ACC-Fonds-LU1728567212,212591416,A2JENJ,LU1728567212,2.0,0.96,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",1.36,-1.09,2.1,,,16.68,25.48,,,-4.04,-30.82,,,,,,,,,,
B-A-U-M-FAIR-FUTURE-FONDS-A-EUR-DIS-Fonds-DE000A2JF709,237149517,A2JF70,DE000A2JF709,3.0,1.52,Ausschüttend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",90.69,2.71,21.13,,,14.7,21.93,,,-3.15,-28.89,,,,,,,,,,
B-A-U-M-FAIR-FUTURE-FONDS-B-EUR-DIS-Fonds-DE000A2JF717,231072028,A2JF71,DE000A2JF717,3.0,0.77,Ausschüttend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",90.69,2.77,21.87,,,14.71,21.78,,,-3.12,-28.81,,,,,,,,,,
LAM-AKTIEN-NACHHALTIGKEIT-INTERNATIONAL-EUR-DIS-Fonds-DE000A2JF7E4,221891190,A2JF7E,DE000A2JF7E4,0.0,0.19,Ausschüttend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",86.94,0.28,8.23,,,15.13,28.19,,,-3.66,-32.15,,,,,,,,,,
ECHIQUIER-POSITIVE-IMPACT-EUROPE-A-EUR-ACC-Fonds-FR0010863688,250447938,A2JFDC,FR0010863688,3.0,1.82,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",265.56,-0.81,12.93,,,11.3,23.11,,,-3.03,-28.62,,,,,,,,,,
NORDEA-1-EMERGING-STARS-EQUITY-FUND-HBI-EUR-ACC-H-Fonds-LU0994705779,213382928,A2JFSA,LU0994705779,0.0,0.95,Thesaurierend,Aktienfonds,"Aktien Ethik, Nachhaltigkeit",5.28,3.09,39.05,,,19.81,28.37,,,-6.24,-30.76,,,,,,,,,,
