name,nsin,isin,capitalization,type,performance_cy,volatility_cy,max_drawdown_cy,months_positive_cy,initial_fee,ongoing_charges,data_id
MULTIPARTNER-SICAV-ROBECOSAM-SUSTAINABLE-WATER-FUND-N-EUR-ACC-Fonds-LU0805493185,A1J1C1,LU0805493185,Thesaurierend,Aktienfonds,-0.44,29.97,-34.45,62.5,3.0,1.1,
MULTIPARTNER-SICAV-ROBECOSAM-SMART-MATERIALS-FUND-N-EUR-ACC-Fonds-LU0805493698,A1J1CX,LU0805493698,Thesaurierend,Aktienfonds,-4.65,32.46,-36.6,62.5,3.0,1.11,
FBG-4ELEMENTS-I-EUR-ACC-Fonds-LU0828350248,A1J355,LU0828350248,Thesaurierend,Aktienfonds,0.68,34.4,-33.77,50.0,3.0,1.32,
ERSTE-RESPONSIBLE-STOCK-EUROPE-R01-EUR-Fonds-AT0000A0WM11,A1J3BV,AT0000A0WM11,Vollthesaurierer,Aktienfonds,-11.94,31.46,-36.26,62.5,5.0,1.86,
NORDEA-1-NORTH-AMERICAN-STARS-EQUITY-FUND-BP-NOK-ACC-Fonds-LU0772958285,A1J3S7,LU0772958285,Thesaurierend,Aktienfonds,2.22,26.12,-17.84,62.5,5.0,1.81,
NORDEA-1-EMERGING-STARS-EQUITY-FUND-E-EUR-ACC-Fonds-LU0602538620,A1J3SR,LU0602538620,Thesaurierend,Aktienfonds,2.8,31.1,-30.28,62.5,0.0,2.6,
NORDEA-1-EMERGING-STARS-EQUITY-FUND-E-USD-ACC-Fonds-LU0705251279,A1J3SS,LU0705251279,Thesaurierend,Aktienfonds,2.66,30.98,-31.75,62.5,0.0,2.6,
STEWART-INVESTORS-WORLDWIDE-SUSTAINABILITY-FUNDS-A-GBP-ACC-Fonds-GB00B8ND6Q99,A1J4E7,GB00B8ND6Q99,Thesaurierend,Aktienfonds,2.07,19.22,-18.94,62.5,4.0,1.5,
STEWART-INVESTORS-WORLDWIDE-SUSTAINABILITY-FUNDS-B-GBP-ACC-Fonds-GB00B7W30613,A1J4E8,GB00B7W30613,Thesaurierend,Aktienfonds,2.68,19.23,-18.89,62.5,4.0,0.67,
STEWART-INVESTORS-WORLDWIDE-SUSTAINABILITY-FUNDS-A-GBP-DIS-Fonds-GB00B845Y045,A1J4E9,GB00B845Y045,Ausschüttend,Aktienfonds,2.19,19.22,-18.93,62.5,4.0,1.32,
STEWART-INVESTORS-WORLDWIDE-SUSTAINABILITY-FUNDS-B-GBP-DIS-Fonds-GB00B8319S60,A1J4FA,GB00B8319S60,Ausschüttend,Aktienfonds,2.67,19.22,-18.89,62.5,4.0,0.67,
STEWART-INVESTORS-WORLDWIDE-SUSTAINABILITY-FUNDS-A-EUR-ACC-Fonds-GB00B84RRS92,A1J4FB,GB00B84RRS92,Thesaurierend,Aktienfonds,2.39,21.44,-25.36,62.5,4.0,1.32,
STEWART-INVESTORS-WORLDWIDE-SUSTAINABILITY-FUNDS-A-USD-ACC-Fonds-GB00B8DDX246,A1J4FF,GB00B8DDX246,Thesaurierend,Aktienfonds,2.37,20.88,-23.71,62.5,4.0,1.33,
STEWART-INVESTORS-WORLDWIDE-SUSTAINABILITY-FUNDS-B-USD-ACC-Fonds-GB00B7K0BG16,A1J4FG,GB00B7K0BG16,Thesaurierend,Aktienfonds,2.89,20.87,-23.66,62.5,4.0,0.65,
NORDEA-1-NORTH-AMERICAN-STARS-EQUITY-FUND-BI-SEK-ACC-Fonds-LU0778445386,A1J532,LU0778445386,Thesaurierend,Aktienfonds,3.82,28.01,-27.47,62.5,0.0,0.93,
NORDEA-1-EMERGING-STARS-EQUITY-FUND-BP-NOK-ACC-Fonds-LU0602540014,A1J53W,LU0602540014,Thesaurierend,Aktienfonds,3.03,24.2,-17.4,75.0,5.0,1.84,
IQAM-EQUITY-US-AT-USD-ACC-Fonds-AT0000A0XJE5,A1J590,AT0000A0XJE5,Thesaurierend,Aktienfonds,-18.31,48.71,-44.33,62.5,5.0,1.72,
PICTET-WATER-HP-CHF-ACC-H-Fonds-LU0843168575,A1J68H,LU0843168575,Thesaurierend,Aktienfonds,-2.51,27.74,-33.67,62.5,5.0,2.05,
NORDEA-1-NORTH-AMERICAN-STARS-EQUITY-FUND-BP-GBP-ACC-Fonds-LU0772958103,A1J73S,LU0772958103,Thesaurierend,Aktienfonds,1.78,27.13,-23.42,75.0,5.0,1.81,
NORDEA-1-NORTH-AMERICAN-STARS-EQUITY-FUND-HB-EUR-ACC-H-Fonds-LU0772959259,A1J7UU,LU0772959259,Thesaurierend,Aktienfonds,4.97,29.29,-31.06,62.5,5.0,1.81,
NORDEA-1-NORTH-AMERICAN-STARS-EQUITY-FUND-HA-EUR-DIS-H-Fonds-LU0772959093,A1J7UV,LU0772959093,Ausschüttend,Aktienfonds,4.96,29.29,-31.07,62.5,5.0,1.81,
NORDEA-1-NORTH-AMERICAN-STARS-EQUITY-FUND-AP-EUR-DIS-Fonds-LU0772957048,A1J7UW,LU0772957048,Ausschüttend,Aktienfonds,2.56,29.82,-30.74,62.5,5.0,1.81,
NORDEA-1-NORTH-AMERICAN-STARS-EQUITY-FUND-AP-USD-DIS-Fonds-LU0772957477,A1J7X3,LU0772957477,Ausschüttend,Aktienfonds,2.41,29.31,-30.93,62.5,5.0,1.81,
VONTOBEL-FUND-SMART-DATA-EQUITY-B-USD-ACC-Fonds-LU0848325378,A1J8D0,LU0848325378,Thesaurierend,Aktienfonds,-6.62,30.99,-33.07,62.5,5.0,2.0,
VONTOBEL-FUND-SMART-DATA-EQUITY-I-USD-ACC-Fonds-LU0848325618,A1J8D1,LU0848325618,Thesaurierend,Aktienfonds,-6.07,31.0,-32.97,62.5,5.0,1.21,
VONTOBEL-FUND-SMART-DATA-EQUITY-A-USD-DIS-Fonds-LU0848325295,A1J8DZ,LU0848325295,Ausschüttend,Aktienfonds,-6.61,31.0,-33.06,62.5,5.0,2.0,
VONTOBEL-FUND-SMART-DATA-EQUITY-H-CHF-ACC-H-Fonds-LU0848326186,A1J8SS,LU0848326186,Thesaurierend,Aktienfonds,-3.85,30.93,-33.27,62.5,5.0,2.06,
VONTOBEL-FUND-SMART-DATA-EQUITY-H-EUR-ACC-H-Fonds-LU0848326269,A1J8ST,LU0848326269,Thesaurierend,Aktienfonds,-4.16,30.96,-33.33,62.5,5.0,2.06,
LOMBARD-ODIER-FUNDS-CHINA-HIGH-CONVICTION-MD-USD-DIS-Fonds-LU0866417719,A1J96Z,LU0866417719,Ausschüttend,Aktienfonds,-16.01,26.31,-35.64,62.5,5.0,1.77,
LOMBARD-ODIER-FUNDS-GENERATION-GLOBAL-M-EUR-DIS-Fonds-LU0866421661,A1J971,LU0866421661,Ausschüttend,Aktienfonds,-5.24,35.03,-34.33,50.0,5.0,1.45,
AVESCO-SUSTAINABLE-HIDDEN-CHAMPIONS-EQUITY-R-EUR-DIS-Fonds-DE000A1J9FJ5,A1J9FJ,DE000A1J9FJ5,Ausschüttend,Aktienfonds,5.06,25.04,-31.65,75.0,5.0,2.08,
SWISSCANTO-LU-EQUITY-FUND-SYSTEMATIC-RESPONSIBLE-USA-AA-USD-DIS-Fonds-LU0644935826,A1JCPG,LU0644935826,Ausschüttend,Aktienfonds,-3.32,39.74,-35.11,62.5,5.0,1.28,
KBI-INSTITUTIONAL-WATER-FUND-H-EUR-ACC-Fonds-IE00B64V3N43,A1JDD3,IE00B64V3N43,Thesaurierend,Aktienfonds,-9.4,32.01,-38.65,62.5,0.25,0.77,
KBI-INSTITUTIONAL-WATER-FUND-I-EUR-ACC-Fonds-IE00B5630V84,A1JDDT,IE00B5630V84,Thesaurierend,Aktienfonds,-10.2,32.01,-38.72,62.5,5.25,1.97,
KBI-INSTITUTIONAL-WATER-FUND-A-EUR-ACC-Fonds-IE00B2Q0L939,A1JDPP,IE00B2Q0L939,Thesaurierend,Aktienfonds,-9.0,32.01,-38.61,62.5,0.25,0.17,
ONE-SUSTAINABLE-FUND-GLOBAL-ENVIRONMENT-B-EUR-ACC-Fonds-LU0594231770,A1JFV7,LU0594231770,Thesaurierend,Aktienfonds,1.62,28.76,-30.37,75.0,0.0,1.44,
SCHRODER-ISF-GLOBAL-SUSTAINABLE-GROWTH-A-EUR-DIS-H-Fonds-LU0671501046,A1JHNR,LU0671501046,Ausschüttend,Aktienfonds,5.34,30.83,-31.7,62.5,5.0,1.68,
NORDEA-1-EMERGING-STARS-EQUITY-FUND-BI-EUR-ACC-Fonds-LU0602539271,A1JHTH,LU0602539271,Thesaurierend,Aktienfonds,4.03,31.07,-30.16,62.5,0.0,0.95,
NORDEA-1-EMERGING-STARS-EQUITY-FUND-BI-USD-ACC-Fonds-LU0602539354,A1JHTJ,LU0602539354,Thesaurierend,Aktienfonds,3.88,30.97,-31.56,62.5,0.0,0.95,
NORDEA-1-EMERGING-STARS-EQUITY-FUND-BI-SEK-ACC-Fonds-LU0602539511,A1JHTK,LU0602539511,Thesaurierend,Aktienfonds,4.64,28.56,-26.75,50.0,0.0,0.95,
NORDEA-1-EMERGING-STARS-EQUITY-FUND-BP-USD-ACC-Fonds-LU0602539602,A1JHTL,LU0602539602,Thesaurierend,Aktienfonds,3.22,30.99,-31.66,62.5,5.0,1.84,
NORDEA-1-EMERGING-STARS-EQUITY-FUND-BP-EUR-ACC-Fonds-LU0602539867,A1JHTM,LU0602539867,Thesaurierend,Aktienfonds,3.36,31.11,-30.22,62.5,5.0,1.84,
NORDEA-1-EMERGING-STARS-EQUITY-FUND-BP-SEK-ACC-Fonds-LU0602540527,A1JHTN,LU0602540527,Thesaurierend,Aktienfonds,3.98,28.58,-26.8,50.0,5.0,1.84,
MIROVA-EUROPE-SUSTAINABLE-EQUITY-FUND-R-A-EUR-ACC-Fonds-LU0552643339,A1JHWE,LU0552643339,Thesaurierend,Aktienfonds,-7.35,32.48,-36.73,62.5,4.0,1.81,
VONTOBEL-FUND-MTX-SUSTAINABLE-EMERGING-MARKETS-LEADERS-A-USD-DIS-Fonds-LU0571085330,A1JJL9,LU0571085330,Ausschüttend,Aktienfonds,-4.97,28.16,-30.69,62.5,5.0,2.02,
VONTOBEL-FUND-MTX-SUSTAINABLE-EMERGING-MARKETS-LEADERS-B-USD-ACC-Fonds-LU0571085413,A1JJMA,LU0571085413,Thesaurierend,Aktienfonds,-4.97,28.16,-30.69,62.5,5.0,2.02,
VONTOBEL-FUND-MTX-SUSTAINABLE-EMERGING-MARKETS-LEADERS-I-USD-ACC-Fonds-LU0571085686,A1JJMH,LU0571085686,Thesaurierend,Aktienfonds,-4.37,28.15,-30.59,62.5,5.0,1.16,
WI-GLOBAL-CHALLENGES-INDEX-FONDS-EDG-EUR-DIS-Fonds-DE000A1JM5A8,A1JM5A,DE000A1JM5A8,Ausschüttend,Aktienfonds,0.39,33.01,-33.78,62.5,5.0,0.75,
VANGUARD-SRI-EUROPEAN-STOCK-FUND-GBP-ACC-Fonds-IE00B76VTL96,A1JMHM,IE00B76VTL96,Thesaurierend,Aktienfonds,-12.89,28.73,-28.91,62.5,0.0,0.14,
VANGUARD-SRI-EUROPEAN-STOCK-FUND-GBP-DIS-Fonds-IE00B76VTR58,A1JMHN,IE00B76VTR58,Ausschüttend,Aktienfonds,-12.89,28.73,-28.91,62.5,0.0,0.14,
VANGUARD-ESG-DEVELOPED-WORLD-ALL-CAP-EQUITY-GBP-ACC-Fonds-IE00B76VTN11,A1JMHP,IE00B76VTN11,Thesaurierend,Aktienfonds,-4.15,29.86,-25.99,62.5,0.0,0.2,
VANGUARD-ESG-DEVELOPED-WORLD-ALL-CAP-EQUITY-GBP-DIS-Fonds-IE00B76VTM04,A1JMHQ,IE00B76VTM04,Ausschüttend,Aktienfonds,-4.15,29.86,-25.99,62.5,0.0,0.2,
JSS-SUSTAINABLE-EQUITY-WATER-P-EUR-ACC-Fonds-LU0707700596,A1JP8V,LU0707700596,Thesaurierend,Aktienfonds,-0.01,33.1,-34.83,62.5,3.0,2.32,
SPARINVEST-SICAV-ETHICAL-GLOBAL-VALUE-RD-EUR-DIS-Fonds-LU0725777444,A1JSYH,LU0725777444,Ausschüttend,Aktienfonds,-16.62,35.53,-36.58,62.5,3.0,2.06,
LGT-SUSTAINABLE-EQUITY-FUND-GLOBAL-B-CHF-ACC-Fonds-LI0148540441,A1JU5F,LI0148540441,Thesaurierend,Aktienfonds,-6.65,28.23,-31.07,62.5,5.0,1.8,
LGT-SUSTAINABLE-EQUITY-FUND-GLOBAL-B-USD-ACC-Fonds-LI0148540466,A1JU5H,LI0148540466,Thesaurierend,Aktienfonds,-6.75,28.35,-30.99,62.5,5.0,1.8,
STEYLER-FAIR-INVEST-EQUITIES-R-EUR-DIS-Fonds-DE000A1JUVL8,A1JUVL,DE000A1JUVL8,Ausschüttend,Aktienfonds,-4.13,29.19,-31.61,62.5,5.0,2.0,
STEYLER-FAIR-INVEST-EQUITIES-I-EUR-DIS-Fonds-DE000A1JUVM6,A1JUVM,DE000A1JUVM6,Ausschüttend,Aktienfonds,-3.78,29.19,-31.57,62.5,5.0,1.5,
KATHREIN-SUSTAINABLE-GLOBAL-EQUITY-R-EUR-ACC-Fonds-AT0000A0V6J7,A1JUXT,AT0000A0V6J7,Thesaurierend,Aktienfonds,-3.84,31.1,-32.03,62.5,5.0,1.5,
KATHREIN-SUSTAINABLE-GLOBAL-EQUITY-I-EUR-ACC-Fonds-AT0000A0V6K5,A1JUXU,AT0000A0V6K5,Thesaurierend,Aktienfonds,-3.29,31.04,-31.94,62.5,5.0,0.71,
PICTET-QUEST-EMERGING-SUSTAINABLE-EQUITIES-I-EUR-ACC-Fonds-LU0725974272,A1JVSQ,LU0725974272,Thesaurierend,Aktienfonds,-15.63,29.08,-32.79,62.5,5.0,1.18,
PICTET-QUEST-EMERGING-SUSTAINABLE-EQUITIES-I-USD-ACC-Fonds-LU0725973548,A1JVSR,LU0725973548,Thesaurierend,Aktienfonds,-15.9,29.7,-34.61,62.5,5.0,1.18,
PICTET-QUEST-EMERGING-SUSTAINABLE-EQUITIES-P-EUR-ACC-Fonds-LU0725974439,A1JVSS,LU0725974439,Thesaurierend,Aktienfonds,-16.08,29.06,-32.87,62.5,5.0,1.99,
PICTET-QUEST-EMERGING-SUSTAINABLE-EQUITIES-P-USD-ACC-Fonds-LU0725973621,A1JVST,LU0725973621,Thesaurierend,Aktienfonds,-16.39,29.71,-34.7,62.5,5.0,1.98,
PICTET-QUEST-EMERGING-SUSTAINABLE-EQUITIES-P-DY-EUR-DIS-Fonds-LU0725974512,A1JVSU,LU0725974512,Ausschüttend,Aktienfonds,-16.11,29.07,-32.89,62.5,5.0,1.98,
PICTET-QUEST-EMERGING-SUSTAINABLE-EQUITIES-R-EUR-ACC-Fonds-LU0725974603,A1JVSW,LU0725974603,Thesaurierend,Aktienfonds,-16.56,29.07,-32.97,62.5,5.0,2.68,
PICTET-QUEST-EMERGING-SUSTAINABLE-EQUITIES-R-USD-ACC-Fonds-LU0725973977,A1JVSX,LU0725973977,Thesaurierend,Aktienfonds,-16.83,29.72,-34.79,62.5,5.0,2.68,
BNPP-CLIMATE-IMPACT-N-EUR-ACC-Fonds-LU0406803063,A1JWEP,LU0406803063,Thesaurierend,Aktienfonds,-2.65,32.46,-34.7,62.5,0.0,3.4,
SPARINVEST-SICAV-ETHICAL-EMERGING-MARKETS-VALUE-R-EUR-ACC-Fonds-LU0760183912,A1JWU5,LU0760183912,Thesaurierend,Aktienfonds,-16.06,31.62,-36.74,62.5,3.0,2.1,
PICTET-QUEST-EMERGING-SUSTAINABLE-EQUITIES-P-GBP-ACC-Fonds-LU0772171772,A1JYS9,LU0772171772,Thesaurierend,Aktienfonds,-16.56,25.93,-27.18,62.5,5.0,1.98,
VARIOPARTNER-SICAV-TARENO-GLOBAL-WATER-SOLUTIONS-FUND-R1-CHF-ACC-H-Fonds-LU0866520306,A1KAFL,LU0866520306,Thesaurierend,Aktienfonds,-3.18,34.3,-35.47,50.0,3.0,2.41,
VARIOPARTNER-SICAV-TARENO-GLOBAL-WATER-SOLUTIONS-FUND-W-CHF-ACC-H-Fonds-LU0866532574,A1KAFN,LU0866532574,Thesaurierend,Aktienfonds,-2.62,34.3,-35.42,50.0,3.0,1.61,
GOLDMAN-SACHS-GLOBAL-EQUITY-PARTNERS-ESG-PORTFOLIO-R-USD-DIS-Fonds-LU0830624366,A1KAKM,LU0830624366,Ausschüttend,Aktienfonds,-1.11,29.04,-32.21,62.5,5.5,1.0,
MULTIPARTNER-SICAV-ROBECOSAM-SUSTAINABLE-HEALTHY-LIVING-FUND-NA-EUR-DIS-Fonds-LU0869111327,A1KCC3,LU0869111327,Ausschüttend,Aktienfonds,-4.31,25.68,-27.85,50.0,3.0,1.11,
MULTIPARTNER-SICAV-ROBECOSAM-SUSTAINABLE-WATER-FUND-NA-EUR-DIS-Fonds-LU0869111756,A1KCC6,LU0869111756,Ausschüttend,Aktienfonds,-0.42,29.97,-34.45,62.5,3.0,1.11,
MULTIPARTNER-SICAV-ROBECOSAM-SUSTAINABLE-WATER-FUND-NA-GBP-DIS-Fonds-LU0869111830,A1KCC7,LU0869111830,Ausschüttend,Aktienfonds,-0.6,27.53,-26.95,75.0,3.0,1.11,
MULTIPARTNER-SICAV-ROBECOSAM-SMART-MATERIALS-FUND-NA-GBP-DIS-Fonds-LU0869110436,A1KCCV,LU0869110436,Ausschüttend,Aktienfonds,-4.81,30.39,-29.22,62.5,3.0,1.1,
WI-GLOBAL-CHALLENGES-INDEX-FONDS-P-EUR-DIS-Fonds-DE000A1T7561,A1T756,DE000A1T7561,Ausschüttend,Aktienfonds,-0.08,33.06,-33.84,62.5,5.0,1.36,
BNPP-GREEN-TIGERS-CLASSIC-USD-DIS-Fonds-LU0823437842,A1T80T,LU0823437842,Ausschüttend,Aktienfonds,6.1,24.65,-28.86,62.5,3.0,2.2,
BNPP-GREEN-TIGERS-CLASSIC-EUR-ACC-Fonds-LU0823437925,A1T80U,LU0823437925,Thesaurierend,Aktienfonds,6.5,24.22,-27.38,62.5,3.0,2.2,
BNPP-GREEN-TIGERS-CLASSIC-EUR-DIS-Fonds-LU0823438220,A1T80V,LU0823438220,Ausschüttend,Aktienfonds,6.51,24.21,-27.38,62.5,3.0,2.2,
BNPP-GREEN-TIGERS-I-EUR-ACC-Fonds-LU0823438493,A1T80W,LU0823438493,Thesaurierend,Aktienfonds,7.26,24.21,-27.29,75.0,0.0,1.11,
BNPP-GREEN-TIGERS-N-EUR-ACC-Fonds-LU0823438659,A1T80X,LU0823438659,Thesaurierend,Aktienfonds,5.92,24.23,-27.44,62.5,0.0,2.95,
BNPP-GREEN-TIGERS-PRIVILEGE-EUR-ACC-Fonds-LU0823438733,A1T80Y,LU0823438733,Thesaurierend,Aktienfonds,7.29,24.21,-27.29,75.0,3.0,1.2,
ONE-SUSTAINABLE-FUND-GLOBAL-ENVIRONMENT-A-EUR-ACC-Fonds-LU0908372492,A1T9KU,LU0908372492,Thesaurierend,Aktienfonds,1.59,28.76,-30.37,75.0,0.0,1.49,
NORDEA-1-EMERGING-STARS-EQUITY-FUND-BC-GBP-ACC-Fonds-LU0841603938,A1W11D,LU0841603938,Thesaurierend,Aktienfonds,3.08,27.95,-23.57,62.5,5.0,1.16,
AXA-WORLD-FUNDS-GLOBAL-FACTORS-SUSTAINABLE-EQUITY-I-EUR-ACC-Fonds-LU0943665348,A1W1A7,LU0943665348,Thesaurierend,Aktienfonds,-4.59,32.47,-32.93,50.0,0.0,0.26,
AXA-WORLD-FUNDS-GLOBAL-FACTORS-SUSTAINABLE-EQUITY-I-EUR-ACC-H-Fonds-LU0943665421,A1W1A8,LU0943665421,Thesaurierend,Aktienfonds,-3.08,32.47,-33.49,62.5,0.0,0.29,
AB-SICAV-I-SUSTAINABLE-GLOBAL-THEMATIC-PORTFOLIO-C-EUR-ACC-Fonds-LU0462790188,A1W24D,LU0462790188,Thesaurierend,Aktienfonds,12.6,36.12,-31.24,75.0,1.0,2.45,
GLS-BANK-AKTIENFONDS-A-EUR-DIS-Fonds-DE000A1W2CK8,A1W2CK,DE000A1W2CK8,Ausschüttend,Aktienfonds,1.2,25.46,-30.56,62.5,0.0,1.54,
GLS-BANK-AKTIENFONDS-B-EUR-DIS-Fonds-DE000A1W2CL6,A1W2CL,DE000A1W2CL6,Ausschüttend,Aktienfonds,1.69,25.42,-30.48,62.5,0.0,0.88,
SWISSCANTO-LU-EQUITY-FUND-SYSTEMATIC-RESPONSIBLE-USA-GT-USD-DIS-Fonds-LU0866302226,A1W2V9,LU0866302226,Ausschüttend,Aktienfonds,-2.8,39.74,-35.07,62.5,5.0,0.54,
CANDRIAM-SUSTAINABLE-MEDIUM-Y-EUR-ACC-Fonds-BE6226291555,A1W3RL,BE6226291555,Thesaurierend,Aktienfonds,-1.6,13.8,-18.5,62.5,0.0,2.01,
UBS-LUX-EQUITY-FUND-GLOBAL-SUSTAINABLE-USD-P-EUR-DIS-Fonds-LU0401296933,A1W478,LU0401296933,Ausschüttend,Aktienfonds,-5.78,30.86,-33.58,50.0,3.0,2.1,
