name,nsin,isin,capitalization,type,performance_cy,volatility_cy,max_drawdown_cy,months_positive_cy,initial_fee,ongoing_charges,data_id
ALLIANZ-GIF-ALLIANZ-GLOBAL-SUSTAINABILITY-A-EUR-DIS-Fonds-LU0158827195,157662,LU0158827195,Ausschüttend,Aktienfonds,,28.35,-30.85,62.5,5.0,1.86,
MEAG-NACHHALTIGKEIT-A-EUR-DIS-Fonds-DE0001619997,161999,DE0001619997,Ausschüttend,Aktienfonds,-8.22,32.35,-33.98,62.5,5.0,1.57,
ALLIANZ-GIF-ALLIANZ-GLOBAL-SUSTAINABILITY-A-USD-DIS-Fonds-LU0158827948,164168,LU0158827948,Ausschüttend,Aktienfonds,0.32,28.7,-31.27,62.5,5.0,1.86,
ALLIANZ-GIF-ALLIANZ-GLOBAL-SUSTAINABILITY-CT-EUR-ACC-Fonds-LU0158828326,164169,LU0158828326,Thesaurierend,Aktienfonds,-0.53,28.42,-30.89,62.5,5.0,2.61,
SWISSCANTO-LU-EQUITY-FUND-SUSTAINABLE-AA-EUR-DIS-Fonds-LU0161535835,216770,LU0161535835,Ausschüttend,Aktienfonds,2.79,33.38,-31.6,62.5,5.0,1.95,
DWS-SDG-GLOBAL-EQUITIES-LD-EUR-DIS-Fonds-DE0005152466,515246,DE0005152466,Ausschüttend,Aktienfonds,0.48,28.12,-30.49,75.0,5.0,1.45,
KCD-UNION-NACHHALTIG-AKTIEN-MINRISK-EUR-DIS-Fonds-DE0005326532,532653,DE0005326532,Ausschüttend,Aktienfonds,-9.08,26.81,-29.12,50.0,3.0,1.67,
DKB-NACHHALTIGKEITSFONDS-SDG-AL-EUR-DIS-Fonds-LU0117118041,541954,LU0117118041,Ausschüttend,Aktienfonds,5.96,30.67,-30.2,75.0,3.0,1.87,
DKB-NACHHALTIGKEITSFONDS-KLIMASCHUTZ-AL-EUR-DIS-Fonds-LU0117118124,541955,LU0117118124,Ausschüttend,Aktienfonds,7.8,32.37,-31.56,75.0,3.0,1.87,
CANDRIAM-SUSTAINABLE-EUROPE-C-EUR-ACC-Fonds-BE0173540072,550962,BE0173540072,Thesaurierend,Aktienfonds,-6.81,30.66,-32.68,62.5,2.5,1.99,
CANDRIAM-SUSTAINABLE-NORTH-AMERICA-C-USD-ACC-Fonds-BE0173901779,550963,BE0173901779,Thesaurierend,Aktienfonds,-0.52,39.37,-34.63,62.5,2.5,2.07,
CANDRIAM-SUSTAINABLE-PACIFIC-C-JPY-ACC-Fonds-BE0174191768,550965,BE0174191768,Thesaurierend,Aktienfonds,-13.01,27.06,-31.7,62.5,2.5,2.07,
CANDRIAM-SUSTAINABLE-MEDIUM-C-EUR-ACC-Fonds-BE0159411405,550967,BE0159411405,Thesaurierend,Aktienfonds,-1.44,13.8,-18.48,62.5,2.5,1.78,
MERIDIO-GREEN-BALANCE-P-EUR-DIS-Fonds-LU0117185156,564968,LU0117185156,Ausschüttend,Aktienfonds,1.6,25.31,-32.0,87.5,5.0,3.52,
GENERALI-INVESTMENTS-SICAV-SRI-EUROPEAN-EQUITY-BX-EUR-ACC-Fonds-LU0145455571,577677,LU0145455571,Thesaurierend,Aktienfonds,-9.85,28.62,-33.38,62.5,5.0,0.92,
GENERALI-INVESTMENTS-SICAV-SRI-EUROPEAN-EQUITY-CX-EUR-ACC-Fonds-LU0145455811,577679,LU0145455811,Thesaurierend,Aktienfonds,-10.02,28.62,-33.4,62.5,5.0,1.17,
GENERALI-INVESTMENTS-SICAV-SRI-EUROPEAN-EQUITY-DX-EUR-ACC-Fonds-LU0145456207,577692,LU0145456207,Thesaurierend,Aktienfonds,-10.37,28.62,-33.42,62.5,5.0,1.71,
GREEN-EFFECTS-NAI-WERTE-FONDS-UNITS-EUR-ACC-Fonds-IE0005895655,580265,IE0005895655,Thesaurierend,Aktienfonds,19.88,27.85,-31.64,75.0,4.0,1.34,
AB-SICAV-I-SUSTAINABLE-GLOBAL-THEMATIC-PORTFOLIO-BX-USD-ACC-Fonds-LU0034955236,590117,LU0034955236,Thesaurierend,Aktienfonds,13.24,35.29,-31.68,62.5,,1.5,
BMO-SUSTAINABLE-OPPORTUNITIES-EUROPEAN-EQUITY-FUND-A-EUR-DIS-Fonds-LU0153358667,592860,LU0153358667,Ausschüttend,Aktienfonds,-4.39,27.23,-31.07,62.5,5.0,1.55,
JPMORGAN-FUNDS-GLOBAL-SOCIALLY-RESPONSIBLE-FUND-D-USD-ACC-Fonds-LU0117882547,603002,LU0117882547,Thesaurierend,Aktienfonds,8.8,28.61,-31.01,75.0,5.0,2.81,
DWS-ESG-EUROPEAN-EQUITIES-LC-EUR-ACC-Fonds-LU0130393993,630843,LU0130393993,Thesaurierend,Aktienfonds,-4.68,33.43,-35.9,62.5,3.75,1.35,
RAIFFEISEN-NACHHALTIGKEIT-AKTIEN-R-EUR-DIS-Fonds-AT0000677901,633634,AT0000677901,Ausschüttend,Aktienfonds,-3.91,29.23,-30.22,62.5,4.0,1.67,
RAIFFEISEN-NACHHALTIGKEIT-AKTIEN-R-EUR-Fonds-AT0000677927,633636,AT0000677927,Vollthesaurierer,Aktienfonds,-3.9,29.22,-30.22,62.5,4.0,1.67,
DEKA-PORTFOLIO-NACHHALTIGKEIT-GLOBALE-AKTIEN-EUR-DIS-Fonds-LU0133819333,658871,LU0133819333,Ausschüttend,Aktienfonds,-9.23,20.63,-28.37,62.5,3.75,1.53,
IQAM-EQUITY-US-RT-USD-ACC-Fonds-AT0000709977,658924,AT0000709977,Thesaurierend,Aktienfonds,-18.64,48.7,-44.38,62.5,5.0,2.22,
AB-FCP-I-SUSTAINABLE-US-THEMATIC-PORTFOLIO-A-USD-ACC-Fonds-LU0124676726,659146,LU0124676726,Thesaurierend,Aktienfonds,10.87,39.66,-31.84,75.0,5.0,1.75,
AB-FCP-I-SUSTAINABLE-US-THEMATIC-PORTFOLIO-B-USD-ACC-Fonds-LU0124677880,659147,LU0124677880,Thesaurierend,Aktienfonds,10.06,39.68,-31.91,75.0,4.0,2.75,
NN-L-GLOBAL-SUSTAINABLE-EQUITY-X-EUR-ACC-Fonds-LU0121204431,659263,LU0121204431,Thesaurierend,Aktienfonds,9.78,34.23,-32.57,75.0,5.0,2.31,
JPMORGAN-FUNDS-GLOBAL-SOCIALLY-RESPONSIBLE-FUND-C-USD-ACC-Fonds-LU0129437173,666267,LU0129437173,Thesaurierend,Aktienfonds,10.49,28.7,-30.88,75.0,0.0,0.76,
WARBURG-ZUKUNFT-STRATEGIEFONDS-A-EUR-DIS-Fonds-DE0006780265,678026,DE0006780265,Ausschüttend,Aktienfonds,-10.6,29.14,-33.32,62.5,6.0,1.99,
LIGA-PAX-CATTOLICO-UNION-EUR-DIS-Fonds-LU0152554803,691565,LU0152554803,Ausschüttend,Aktienfonds,-11.81,12.53,-18.6,25.0,2.5,1.21,
KEPLER-ETHIK-AKTIENFONDS-EUR-ACC-Fonds-AT0000675665,693474,AT0000675665,Thesaurierend,Aktienfonds,-10.18,32.18,-34.58,62.5,4.0,1.96,
KEPLER-ETHIK-AKTIENFONDS-EUR-DIS-Fonds-AT0000675657,693479,AT0000675657,Ausschüttend,Aktienfonds,-10.17,32.18,-34.58,62.5,4.0,1.96,
ERSTE-WWF-STOCK-ENVIRONMENT-R01-EUR-DIS-Fonds-AT0000705660,694114,AT0000705660,Ausschüttend,Aktienfonds,27.78,34.88,-37.79,75.0,4.0,1.86,
ERSTE-WWF-STOCK-ENVIRONMENT-R01-EUR-ACC-Fonds-AT0000705678,694115,AT0000705678,Thesaurierend,Aktienfonds,27.78,34.89,-37.79,75.0,4.0,1.86,
ODDO-BHF-ALGO-SUSTAINABLE-LEADERS-CRW-EUR-ACC-Fonds-DE0007045437,704543,DE0007045437,Thesaurierend,Aktienfonds,-3.17,28.06,-32.5,75.0,5.0,1.34,
HSBC-RESPONSIBLE-INVESTMENT-FUNDS-SRI-EUROLAND-EQUITY-AC-EUR-ACC-Fonds-FR0000437113,722671,FR0000437113,Thesaurierend,Aktienfonds,-11.67,32.04,-36.25,62.5,3.0,1.55,
BMO-RESPONSIBLE-GLOBAL-EMERGING-MARKETS-EQUITY-FUND-A-USD-DIS-Fonds-LU0153359632,749704,LU0153359632,Ausschüttend,Aktienfonds,-10.46,24.74,-31.94,62.5,5.0,1.87,
PICTET-EUROPEAN-SUSTAINABLE-EQUITIES-I-EUR-ACC-Fonds-LU0144509550,750442,LU0144509550,Thesaurierend,Aktienfonds,-10.41,27.48,-32.91,62.5,5.0,0.8,
PICTET-EUROPEAN-SUSTAINABLE-EQUITIES-P-EUR-ACC-Fonds-LU0144509717,750443,LU0144509717,Thesaurierend,Aktienfonds,-10.68,27.48,-32.93,62.5,5.0,1.2,
PICTET-EUROPEAN-SUSTAINABLE-EQUITIES-R-EUR-ACC-Fonds-LU0144510053,750444,LU0144510053,Thesaurierend,Aktienfonds,-10.97,27.49,-32.96,62.5,5.0,1.65,
MONEGA-FAIRINVEST-AKTIEN-R-EUR-DIS-Fonds-DE0007560849,756084,DE0007560849,Ausschüttend,Aktienfonds,-7.64,28.21,-32.05,62.5,5.0,1.76,
MULTIPARTNER-SICAV-ROBECOSAM-SUSTAINABLE-WATER-FUND-B-EUR-ACC-Fonds-LU0133061175,763763,LU0133061175,Thesaurierend,Aktienfonds,-0.98,29.97,-34.49,62.5,3.0,1.85,
MULTIPARTNER-SICAV-ROBECOSAM-SUSTAINABLE-WATER-FUND-A-EUR-DIS-Fonds-LU0133061415,763764,LU0133061415,Ausschüttend,Aktienfonds,-0.97,29.97,-34.49,62.5,3.0,1.86,
TEMPLETON-GLOBAL-CLIMATE-CHANGE-FUND-A-EUR-ACC-Fonds-LU0128520375,785335,LU0128520375,Thesaurierend,Aktienfonds,-3.03,31.3,-30.35,62.5,5.75,1.83,
NN-L-GLOBAL-SUSTAINABLE-EQUITY-P-EUR-ACC-Fonds-LU0119216553,797410,LU0119216553,Thesaurierend,Aktienfonds,10.18,34.23,-32.54,75.0,3.0,1.8,
SWISSCANTO-LU-EQUITY-FUND-SUSTAINABLE-AT-EUR-ACC-Fonds-LU0136171559,811428,LU0136171559,Thesaurierend,Aktienfonds,2.79,33.38,-31.6,62.5,5.0,1.96,
NN-L-GLOBAL-SUSTAINABLE-EQUITY-P-EUR-DIS-Fonds-LU0119216710,812837,LU0119216710,Ausschüttend,Aktienfonds,10.18,34.22,-32.54,75.0,3.0,1.8,
INVESCO-UMWELT-UND-NACHHALTIGKEITS-FONDS-EUR-ACC-Fonds-DE0008470477,847047,DE0008470477,Thesaurierend,Aktienfonds,-3.95,25.04,-29.07,62.5,5.0,1.64,
JSS-SUSTAINABLE-EQUITY-GLOBAL-P-EUR-DIS-Fonds-LU0097427784,921125,LU0097427784,Ausschüttend,Aktienfonds,-5.25,33.47,-32.95,62.5,3.0,2.1,
UBS-LUX-EQUITY-FUND-US-SUSTAINABLE-USD-P-ACC-Fonds-LU0098995292,921576,LU0098995292,Thesaurierend,Aktienfonds,-10.62,47.11,-41.85,62.5,3.0,1.71,
AB-SICAV-I-SUSTAINABLE-GLOBAL-THEMATIC-PORTFOLIO-B-USD-ACC-Fonds-LU0085333697,926185,LU0085333697,Thesaurierend,Aktienfonds,12.02,35.32,-31.79,75.0,4.0,3.0,
PICTET-WATER-I-EUR-ACC-Fonds-LU0104884605,933348,LU0104884605,Thesaurierend,Aktienfonds,-2.1,27.74,-33.58,62.5,5.0,1.15,
PICTET-WATER-P-EUR-ACC-Fonds-LU0104884860,933349,LU0104884860,Thesaurierend,Aktienfonds,-2.74,27.75,-33.63,62.5,5.0,2.0,
PICTET-WATER-R-EUR-ACC-Fonds-LU0104885248,933350,LU0104885248,Thesaurierend,Aktienfonds,-3.25,27.76,-33.68,62.5,5.0,2.7,
AB-SICAV-I-SUSTAINABLE-GLOBAL-THEMATIC-PORTFOLIO-CX-USD-ACC-Fonds-LU0102831160,933573,LU0102831160,Thesaurierend,Aktienfonds,12.45,35.3,-31.73,62.5,1.0,2.45,
BL-SUSTAINABLE-HORIZON-B-EUR-ACC-Fonds-LU0093570173,937804,LU0093570173,Thesaurierend,Aktienfonds,-0.96,19.96,-21.27,50.0,5.0,1.7,
JPMORGAN-FUNDS-GLOBAL-SOCIALLY-RESPONSIBLE-FUND-A-USD-DIS-Fonds-LU0111753769,939861,LU0111753769,Ausschüttend,Aktienfonds,9.66,28.71,-30.98,75.0,5.0,1.81,
LGT-SUSTAINABLE-EQUITY-FUND-EUROPE-EUR-B-ACC-Fonds-LI0015327906,964801,LI0015327906,Thesaurierend,Aktienfonds,-7.87,31.07,-34.91,62.5,5.0,1.86,
ACATIS-FAIR-VALUE-AKTIEN-GLOBAL-P-EUR-DIS-Fonds-LI0017502381,964894,LI0017502381,Ausschüttend,Aktienfonds,1.26,31.58,-33.72,62.5,5.0,2.12,
TEMPLETON-GLOBAL-CLIMATE-CHANGE-FUND-A-EUR-DIS-Fonds-LU0029873410,971655,LU0029873410,Ausschüttend,Aktienfonds,-3.03,31.33,-30.33,62.5,5.75,1.83,
EB-OEKO-AKTIENFONDS-R-EUR-DIS-Fonds-LU0037079380,971682,LU0037079380,Ausschüttend,Aktienfonds,-0.42,32.07,-30.72,62.5,5.0,1.54,
AB-SICAV-I-SUSTAINABLE-GLOBAL-THEMATIC-PORTFOLIO-AXX-USD-ACC-Fonds-LU0034955152,971873,LU0034955152,Thesaurierend,Aktienfonds,13.23,35.18,-31.67,62.5,,1.5,
SEB-SUSTAINABILITY-FUND-GLOBAL-C-EUR-ACC-Fonds-LU0036592839,971898,LU0036592839,Thesaurierend,Aktienfonds,-9.39,32.15,-34.15,62.5,5.0,1.69,
JSS-SUSTAINABLE-EQUITY-EUROPE-P-EUR-DIS-Fonds-LU0058891119,973500,LU0058891119,Ausschüttend,Aktienfonds,-15.64,30.72,-35.89,62.5,3.0,2.1,
SEB-SUSTAINABILITY-FUND-EUROPE-C-EUR-ACC-Fonds-LU0030166507,973832,LU0030166507,Thesaurierend,Aktienfonds,-13.96,29.97,-36.51,62.5,1.0,1.46,
AB-SICAV-I-SUSTAINABLE-GLOBAL-THEMATIC-PORTFOLIO-AX-USD-ACC-Fonds-LU0057025933,974264,LU0057025933,Thesaurierend,Aktienfonds,12.8,35.28,-31.71,75.0,5.0,2.0,
AB-SICAV-I-SUSTAINABLE-GLOBAL-THEMATIC-PORTFOLIO-BX-USD-ACC-Fonds-LU0057026071,974332,LU0057026071,Thesaurierend,Aktienfonds,11.99,35.29,-31.77,75.0,4.0,3.0,
SEB-SUSTAINABILITY-NORDIC-FUND-C-EUR-ACC-Fonds-LU0030165871,974743,LU0030165871,Thesaurierend,Aktienfonds,,,,,1.0,1.36,
OEKOWORLD-OEKOVISION-CLASSIC-C-EUR-ACC-Fonds-LU0061928585,974968,LU0061928585,Thesaurierend,Aktienfonds,2.59,21.54,-24.48,50.0,5.0,2.31,
TERRASSISI-AKTIEN-I-AMI-P-EUR-DIS-Fonds-DE0009847343,984734,DE0009847343,Ausschüttend,Aktienfonds,-2.04,33.78,-32.72,62.5,4.5,1.47,
DNB-FUND-GLOBAL-ESG-A-EUR-ACC-Fonds-LU0029375739,986058,LU0029375739,Thesaurierend,Aktienfonds,-7.72,37.04,-37.64,62.5,5.0,1.48,
AB-SICAV-I-SUSTAINABLE-GLOBAL-THEMATIC-PORTFOLIO-A-USD-ACC-Fonds-LU0069063385,986633,LU0069063385,Thesaurierend,Aktienfonds,12.79,35.33,-31.71,75.0,5.0,2.0,
AB-SICAV-I-SUSTAINABLE-GLOBAL-THEMATIC-PORTFOLIO-IX-USD-ACC-Fonds-LU0079428008,986842,LU0079428008,Thesaurierend,Aktienfonds,13.47,35.28,-31.66,75.0,1.5,1.2,
UBS-LUX-EQUITY-FUND-GLOBAL-SUSTAINABLE-USD-P-ACC-Fonds-LU0076532638,987076,LU0076532638,Thesaurierend,Aktienfonds,-6.13,31.2,-33.87,62.5,3.0,2.1,
DNB-FUND-GLOBAL-EMERGING-MARKETS-ESG-A-USD-ACC-Fonds-LU0090738252,987712,LU0090738252,Thesaurierend,Aktienfonds,-4.73,30.39,-35.81,62.5,5.0,1.69,
NN-L-EMERGING-MARKETS-ENHANCED-INDEX-SUSTAINABLE-EQUITY-P-USD-ACC-Fonds-LU0051128774,989049,LU0051128774,Thesaurierend,Aktienfonds,-6.58,31.06,-33.35,62.5,3.0,0.6,
NN-L-EMERGING-MARKETS-ENHANCED-INDEX-SUSTAINABLE-EQUITY-P-USD-DIS-Fonds-LU0051128931,989470,LU0051128931,Ausschüttend,Aktienfonds,-6.58,31.06,-33.35,62.5,3.0,0.6,
GENERALI-INVESTMENTS-SICAV-SRI-EUROPEAN-EQUITY-EX-EUR-ACC-Fonds-LU0169244745,A0B53Q,LU0169244745,Thesaurierend,Aktienfonds,-10.83,28.62,-33.46,62.5,5.0,2.42,
BNP-PARIBAS-DEVELOPPEMENT-HUMAIN-CLASSIC-EUR-ACC-Fonds-FR0010077412,A0B5MW,FR0010077412,Thesaurierend,Aktienfonds,-6.77,26.54,-29.34,62.5,2.0,1.59,
TEMPLETON-GLOBAL-CLIMATE-CHANGE-FUND-I-EUR-ACC-Fonds-LU0195953749,A0B6ZJ,LU0195953749,Thesaurierend,Aktienfonds,-2.44,31.27,-30.27,62.5,0.0,0.98,
BFS-NACHHALTIGKEITSFONDS-ERTRAG-EUR-DIS-Fonds-DE000A0B7JB7,A0B7JB,DE000A0B7JB7,Ausschüttend,Aktienfonds,-4.92,7.89,-13.55,62.5,3.0,0.97,
MULTIPARTNER-SICAV-ROBECOSAM-SMART-MATERIALS-FUND-C-EUR-ACC-Fonds-LU0199357012,A0B8QT,LU0199357012,Thesaurierend,Aktienfonds,-4.62,32.46,-36.6,62.5,3.0,1.06,
MULTIPARTNER-SICAV-ROBECOSAM-SUSTAINABLE-WATER-FUND-C-EUR-ACC-Fonds-LU0199356394,A0B8QU,LU0199356394,Thesaurierend,Aktienfonds,-0.41,29.97,-34.45,62.5,3.0,1.06,
TEMPLETON-GLOBAL-CLIMATE-CHANGE-FUND-N-EUR-ACC-Fonds-LU0188151335,A0B9J9,LU0188151335,Thesaurierend,Aktienfonds,-3.54,31.32,-30.38,62.5,3.0,2.58,
MULTIPARTNER-SICAV-ROBECOSAM-SMART-MATERIALS-FUND-B-EUR-ACC-Fonds-LU0175575991,A0BL6T,LU0175575991,Thesaurierend,Aktienfonds,-5.18,32.46,-36.65,62.5,3.0,1.85,
ROBECO-SUSTAINABLE-EUROPEAN-STARS-EQUITIES-D-EUR-ACC-Fonds-LU0187077218,A0CATQ,LU0187077218,Thesaurierend,Aktienfonds,-12.37,27.83,-33.78,62.5,5.0,1.46,
RAIFFEISEN-NACHHALTIGKEIT-AKTIEN-R-EUR-ACC-Fonds-AT0000677919,A0D9UG,AT0000677919,Thesaurierend,Aktienfonds,-3.9,29.23,-30.22,62.5,4.0,1.67,
3-BANKEN-NACHHALTIGKEITSFONDS-EUR-ACC-Fonds-AT0000701156,A0DJZ8,AT0000701156,Thesaurierend,Aktienfonds,-3.61,31.86,-32.34,62.5,5.0,1.81,
JPMORGAN-FUNDS-GLOBAL-SOCIALLY-RESPONSIBLE-FUND-A-USD-ACC-Fonds-LU0210534813,A0DQQK,LU0210534813,Thesaurierend,Aktienfonds,9.69,28.72,-30.94,75.0,5.0,1.81,
ROBECO-SUSTAINABLE-EUROPEAN-STARS-EQUITIES-I-EUR-ACC-Fonds-LU0209860427,A0EQZF,LU0209860427,Thesaurierend,Aktienfonds,-11.96,27.84,-33.74,62.5,0.5,0.83,
JSS-SUSTAINABLE-EQUITY-GLOBAL-THEMATIC-P-EUR-DIS-Fonds-LU0229773345,A0F6ES,LU0229773345,Ausschüttend,Aktienfonds,3.73,32.02,-31.73,62.5,3.0,2.07,
KBC-ECO-FUND-WATER-C-EUR-ACC-Fonds-BE0175479063,A0F6Z0,BE0175479063,Thesaurierend,Aktienfonds,-8.01,32.2,-34.8,62.5,3.0,1.7,
CANDRIAM-SUSTAINABLE-PACIFIC-C-JPY-DIS-Fonds-BE0945054808,A0F7D2,BE0945054808,Ausschüttend,Aktienfonds,-13.0,27.09,-31.69,62.5,2.5,2.08,
BMO-RESPONSIBLE-GLOBAL-EQUITY-FUND-A-EUR-DIS-Fonds-LU0234759529,A0H0G1,LU0234759529,Ausschüttend,Aktienfonds,2.33,31.07,-31.15,62.5,5.0,1.8,
BMO-RESPONSIBLE-GLOBAL-EQUITY-FUND-I-EUR-DIS-Fonds-LU0234761939,A0H0G3,LU0234761939,Ausschüttend,Aktienfonds,2.95,31.01,-31.07,62.5,5.0,1.01,
STEWART-INVESTORS-ASIA-PACIFIC-SUSTAINABILITY-FUND-A-GBP-ACC-Fonds-GB00B0TY6S22,A0H0QL,GB00B0TY6S22,Thesaurierend,Aktienfonds,1.83,18.02,-17.91,75.0,4.0,1.69,
STEWART-INVESTORS-ASIA-PACIFIC-SUSTAINABILITY-FUND-B-GBP-ACC-Fonds-GB00B0TY6V50,A0H0QM,GB00B0TY6V50,Thesaurierend,Aktienfonds,2.38,18.01,-17.78,75.0,4.0,0.98,
MEAG-NACHHALTIGKEIT-I-EUR-DIS-Fonds-DE000A0HF491,A0HF49,DE000A0HF491,Ausschüttend,Aktienfonds,-7.51,32.34,-33.91,62.5,5.0,0.55,
JUPITER-GLOBAL-ECOLOGY-GROWTH-L-EUR-ACC-Fonds-LU0231118026,A0HF9U,LU0231118026,Thesaurierend,Aktienfonds,-4.85,24.84,-31.37,62.5,5.0,1.72,
CANDRIAM-SUSTAINABLE-MEDIUM-C-EUR-DIS-Fonds-BE0945316512,A0J28Q,BE0945316512,Ausschüttend,Aktienfonds,-1.45,13.8,-18.48,62.5,2.5,1.8,
ERSTE-RESPONSIBLE-STOCK-GLOBAL-R01-EUR-ACC-Fonds-AT0000646799,A0J36T,AT0000646799,Thesaurierend,Aktienfonds,1.8,33.15,-32.25,62.5,5.0,1.82,
ERSTE-RESPONSIBLE-STOCK-GLOBAL-R01-EUR-DIS-Fonds-AT0000A01GL7,A0J36V,AT0000A01GL7,Ausschüttend,Aktienfonds,1.8,33.15,-32.25,62.5,5.0,1.82,
CANDRIAM-SUSTAINABLE-NORTH-AMERICA-C-USD-DIS-Fonds-BE0945318534,A0J3WE,BE0945318534,Ausschüttend,Aktienfonds,-0.5,39.39,-34.64,62.5,2.5,2.08,
PICTET-WATER-I-USD-ACC-Fonds-LU0255980244,A0J4DR,LU0255980244,Thesaurierend,Aktienfonds,-2.11,28.85,-33.5,62.5,5.0,1.16,
PICTET-WATER-P-USD-ACC-Fonds-LU0255980327,A0J4DS,LU0255980327,Thesaurierend,Aktienfonds,-2.76,28.86,-33.56,62.5,5.0,2.0,
PICTET-WATER-R-USD-ACC-Fonds-LU0255980673,A0J4DT,LU0255980673,Thesaurierend,Aktienfonds,-3.27,28.86,-33.6,62.5,5.0,2.7,
PICTET-WATER-Z-EUR-ACC-Fonds-LU0239939290,A0J4G9,LU0239939290,Thesaurierend,Aktienfonds,-1.43,27.73,-33.52,62.5,5.0,0.17,
SUPERIOR-4-ETHIK-AKTIEN-EUR-DIS-Fonds-AT0000993043,A0J4XV,AT0000993043,Ausschüttend,Aktienfonds,-12.27,35.61,-36.33,75.0,4.0,1.63,
KBC-ECO-FUND-WATER-D-EUR-DIS-Fonds-BE0175478057,A0JJ52,BE0175478057,Ausschüttend,Aktienfonds,-8.01,32.2,-34.8,62.5,3.0,1.7,
KBC-ECO-FUND-IMPACT-INVESTING-EUR-ACC-Fonds-BE0175718510,A0JJ53,BE0175718510,Thesaurierend,Aktienfonds,-1.48,29.96,-34.72,75.0,3.0,1.72,
KBC-ECO-FUND-IMPACT-INVESTING-EUR-DIS-Fonds-BE0175717504,A0JJ54,BE0175717504,Ausschüttend,Aktienfonds,-1.48,29.96,-34.72,75.0,3.0,1.72,
KBC-ECO-FUND-WORLD-C-EUR-ACC-Fonds-BE0133741752,A0JJ55,BE0133741752,Thesaurierend,Aktienfonds,-8.01,33.54,-33.12,62.5,3.0,1.74,
KBC-ECO-FUND-WORLD-D-EUR-DIS-Fonds-BE0177657500,A0JJ56,BE0177657500,Ausschüttend,Aktienfonds,-8.03,33.54,-33.12,62.5,3.0,1.74,
SCHOELLERBANK-ETHIK-VORSORGE-EUR-ACC-Fonds-AT0000820477,A0JK8H,AT0000820477,Thesaurierend,Aktienfonds,-4.49,15.71,-17.85,62.5,3.0,1.02,
SCHOELLERBANK-ETHIK-VORSORGE-EUR-ACC-Fonds-AT0000809447,A0JK8T,AT0000809447,Thesaurierend,Aktienfonds,-4.49,15.82,-17.86,62.5,3.0,1.02,
LBBW-NACHHALTIGKEIT-AKTIEN-I-EUR-DIS-Fonds-DE000A0JM0Q6,A0JM0Q,DE000A0JM0Q6,Ausschüttend,Aktienfonds,0.77,30.76,-32.82,62.5,5.0,0.84,
DPAM-INVEST-B-EQUITIES-EUROPE-SUSTAINABLE-A-EUR-DIS-Fonds-BE0940001713,A0JMB0,BE0940001713,Ausschüttend,Aktienfonds,1.23,29.25,-32.37,62.5,2.0,1.79,
DPAM-INVEST-B-EQUITIES-WORLD-SUSTAINABLE-B-EUR-ACC-Fonds-BE0058652646,A0JMB5,BE0058652646,Thesaurierend,Aktienfonds,5.25,28.89,-29.86,62.5,2.0,1.76,
DPAM-INVEST-B-EQUITIES-WORLD-SUSTAINABLE-A-EUR-DIS-Fonds-BE0058651630,A0JMB6,BE0058651630,Ausschüttend,Aktienfonds,5.2,28.89,-29.86,62.5,2.0,1.76,
DPAM-INVEST-B-EQUITIES-EUROPE-SUSTAINABLE-B-EUR-ACC-Fonds-BE0940002729,A0JMBZ,BE0940002729,Thesaurierend,Aktienfonds,1.24,29.25,-32.38,62.5,2.0,1.79,
AB-SICAV-I-SUSTAINABLE-GLOBAL-THEMATIC-PORTFOLIO-AX-EUR-ACC-Fonds-LU0232552355,A0JMG6,LU0232552355,Thesaurierend,Aktienfonds,12.82,36.13,-31.22,75.0,5.0,2.0,
AB-SICAV-I-SUSTAINABLE-GLOBAL-THEMATIC-PORTFOLIO-BX-EUR-ACC-Fonds-LU0232558048,A0JMG7,LU0232558048,Thesaurierend,Aktienfonds,11.99,36.13,-31.3,75.0,4.0,3.0,
AB-SICAV-I-SUSTAINABLE-GLOBAL-THEMATIC-PORTFOLIO-IX-EUR-ACC-Fonds-LU0232558980,A0JMG8,LU0232558980,Thesaurierend,Aktienfonds,13.49,36.13,-31.18,75.0,1.5,1.2,
AB-SICAV-I-SUSTAINABLE-GLOBAL-THEMATIC-PORTFOLIO-A-EUR-ACC-Fonds-LU0252218267,A0JMHT,LU0252218267,Thesaurierend,Aktienfonds,12.81,36.17,-31.22,75.0,5.0,2.0,
AB-SICAV-I-SUSTAINABLE-GLOBAL-THEMATIC-PORTFOLIO-B-EUR-ACC-Fonds-LU0252214787,A0JMHU,LU0252214787,Thesaurierend,Aktienfonds,12.07,36.12,-31.27,75.0,4.0,3.0,
AB-SICAV-I-SUSTAINABLE-GLOBAL-THEMATIC-PORTFOLIO-I-EUR-ACC-Fonds-LU0252216998,A0JMHV,LU0252216998,Thesaurierend,Aktienfonds,13.47,36.14,-31.18,75.0,1.5,1.2,
AB-FCP-I-SUSTAINABLE-US-THEMATIC-PORTFOLIO-A-EUR-ACC-Fonds-LU0232464734,A0JMHW,LU0232464734,Thesaurierend,Aktienfonds,10.9,40.81,-31.38,75.0,5.0,1.75,
AB-FCP-I-SUSTAINABLE-US-THEMATIC-PORTFOLIO-B-EUR-ACC-Fonds-LU0232464817,A0JMHX,LU0232464817,Thesaurierend,Aktienfonds,10.09,40.79,-31.41,75.0,4.0,2.75,
